issue_id;url;code_seq_with_all_codes;code_seq_abbreviated;code_seq_with_selected_codes;stage_seq_with_selected_codes;n_code_seq_all_codes;n_code_seq_selected_codes;n_stage_seq_selected_codes
1761826;https://bugzilla.mozilla.org/show_bug.cgi?id=1761826;CODE_IMPLEMENTATION,CODE_REVIEW;COD_IMP,COD_REV;COD_IMP,COD_REV;IMPL,CR;2;2;2
1761435;https://bugzilla.mozilla.org/show_bug.cgi?id=1761435;CODE_IMPLEMENTATION,CODE_REVIEW;COD_IMP,COD_REV;COD_IMP,COD_REV;IMPL,CR;2;2;2
1753765;https://bugzilla.mozilla.org/show_bug.cgi?id=1753765;CODE_IMPLEMENTATION,CODE_REVIEW,IMPLEMENTATION_REVERSION,COLLATERAL_PROBLEM_ANALYSIS,COLLATERAL_POTENTIAL_SOLUTION,CODE_IMPLEMENTATION;COD_IMP,COD_REV,IMP_REVRSN,CO_PRB_CUS,CO_POT_SOL,COD_IMP;COD_IMP,COD_REV,IMP_REVRSN,CO_PRB_CUS,CO_POT_SOL,COD_IMP;IMPL,CR,VER,IMPL;6;6;4
1751919;https://bugzilla.mozilla.org/show_bug.cgi?id=1751919;PROBLEM_CAUSE_IDENTIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW,UPLIFT_APPROVAL,UPLIFT_APPROVAL;PRB_CUS_IDN,COD_IMP,COD_REV,UPLFT_APRV,UPLFT_APRV;PRB_CUS_IDN,COD_IMP,COD_REV,UPLFT_APRV,UPLFT_APRV;ISU_ANLYS,IMPL,CR,VER;5;5;4
1751721;https://bugzilla.mozilla.org/show_bug.cgi?id=1751721;CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW_REQUEST;COD_IMP,COD_REV,COD_REV_REQ;COD_IMP,COD_REV;IMPL,CR;3;3;2
1748902;https://bugzilla.mozilla.org/show_bug.cgi?id=1748902;CODE_IMPLEMENTATION,CODE_REVIEW;COD_IMP,COD_REV;COD_IMP,COD_REV;IMPL,CR;2;2;2
1748376;https://bugzilla.mozilla.org/show_bug.cgi?id=1748376;CODE_IMPLEMENTATION,CODE_REVIEW;COD_IMP,COD_REV;COD_IMP,COD_REV;IMPL,CR;2;2;2
1742770;https://bugzilla.mozilla.org/show_bug.cgi?id=1742770;POTENTIAL_SOLUTION_DESIGN,PROBLEM_REVIEW_REQUEST,SOLUTION_REVIEW,SOLUTION_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW;POT_SOL_DES,PRB_REV_REQ,SOL_REV,SOL_REV,COD_IMP,COD_REV;POT_SOL_DES,SOL_REV,SOL_REV,COD_IMP,COD_REV;SOL_DES,IMPL,CR;6;6;3
1733898;https://bugzilla.mozilla.org/show_bug.cgi?id=1733898;CODE_IMPLEMENTATION,CODE_REVIEW;COD_IMP,COD_REV;COD_IMP,COD_REV;IMPL,CR;2;2;2
1732739;https://bugzilla.mozilla.org/show_bug.cgi?id=1732739;CODE_IMPLEMENTATION,CODE_REVIEW;COD_IMP,COD_REV;COD_IMP,COD_REV;IMPL,CR;2;2;2
